id,x,y
170310022,41.6871654376343,-87.5393154841479
170311016,41.80118,-87.832349
170314201,42.139996190948,-87.7992269168431
170310032,41.755832412403,-87.545349670582
170310076,41.7513999786378,-87.7134881520007
170311003,41.9843323270383,-87.7920016971163
170311601,41.6681203371799,-87.9905696935943
170313103,41.9651934814238,-87.8762647334973
170314002,41.8552431328191,-87.7524696987102
170314007,42.0602846910538,-87.8632254343829
170317002,42.062053,-87.675254
170310119,41.5786196210494,-87.5574060746384
170310219,41.920009,-87.672995
